model	transcript	DEG.rank	baseMean	log2FoldChange	padj	manual.ann	EggNOG.Predicted.Gene	EggNOG.Description	EggNOG.Protein.Domains	Contaminant	xenic
adult thorax by wing PC1	TR234369|c5_g1_i1	225	28.897	-3.5526	8.074e-10	NA	ABCB7	ATP-binding cassette subfamily B, member 7	PFAM (ABC_membrane, ABC_tran), SMART (TRANS, AAA)	No	FALSE
adult thorax by wing PC1	TR263089|c5_g1_i1	228	5492.4	-5.0891	8.8207e-10	myosin LC	MLC2	myosin regulatory light chain	SMART (EFh)	No	FALSE
adult thorax by wing PC1	TR219269|c0_g1_i1	229	533.42	-2.9148	9.4231e-10	NA		SCP-2 sterol transfer family	PFAM (SCP2, adh_short, KR)	No	FALSE
adult thorax by wing PC1	TR284867|c1_g1_i3	230	10211	-3.8962	9.8232e-10	troponin T	TPNT	Troponin T	PFAM (Troponin), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR198161|c1_g1_i1	231	53.122	-7.5911	9.943e-10	NA		AMP-binding enzyme	PFAM (AMP-binding), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR224571|c4_g2_i1	232	123.54	-2.6235	1.0149e-09	NA		NA		No	FALSE
adult thorax by wing PC1	TR243737|c39_g4_i1	233	108.09	-3.0104	1.1331e-09	NA		Cytochrome c oxidase biogenesis protein Cmc1 like	PFAM (Cmc1)	No	FALSE
adult thorax by wing PC1	TR88465|c0_g1_i1	235	366.6	-2.2788	1.2213e-09	NA		Coiled-coil-helix-coiled-coil-helix domain-containing protein	PFAM (CHCH)	No	FALSE
adult thorax by wing PC1	TR203125|c5_g2_i1	236	1444.4	-3.6504	1.2394e-09	actin	ACTN	actin crosslink formation	PFAM (Spectrin, CH, efhand_Ca_insen, CAMSAP_CH), SMART (SPEC, COIL, EFh, CH, efhand_Ca_insen)	No	FALSE
adult thorax by wing PC1	TR239223|c5_g1_i2	237	42.64	-3.1005	1.3214e-09	apoptosis-inducing factor	AIF	Pyridine nucleotide-disulphide oxidoreductase	PFAM (Pyr_redox_2, Pyr_redox, DAO), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR198722|c0_g1_i1	239	92.642	-5.2414	1.4211e-09	NA		Inherit from KOG: Solute carrier family 3 (Cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	PFAM (Alpha-amylase), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR252871|c0_g1_i1	243	671.89	-3.4503	1.4746e-09	NA	GDH	Glutamate dehydrogenase	PFAM (ELFV_dehydrog_N, ELFV_dehydrog), SMART (ELFV_dehydrog)	No	FALSE
adult thorax by wing PC1	TR41238|c0_g2_i1	244	411.68	-3.4192	1.4871e-09	NA		DDHD	PFAM (DDHD), SMART (DDHD)	No	FALSE
adult thorax by wing PC1	TR96885|c0_g1_i1	248	58.31	-3.3646	1.556e-09	rpS30	MRPS30	ribosomal protein, S30	PFAM (PDCD9)	No	FALSE
adult thorax by wing PC1	TR243305|c1_g1_i1	249	3311.4	-2.3615	1.5769e-09	SSRbeta	SSRBETA	Signal sequence Receptor beta	PFAM (TRAP_beta), SMART (TRANS, SIGNAL)	No	FALSE
adult thorax by wing PC1	TR203493|c7_g2_i1	251	91.106	-4.0671	1.6518e-09	NA		Uncharacterised conserved protein (DUF2315)	PFAM (DUF2315)	No	FALSE
adult thorax by wing PC1	TR246210|c21_g1_i2	252	137.85	-2.9714	1.6625e-09	NA	ENO	ec 4.2.1.11	PFAM (Enolase_C, Enolase_N, MAAL_C), SMART (Enolase_C, Enolase_N)	No	FALSE
adult thorax by wing PC1	TR250357|c0_g1_i1	254	65.463	-3.1033	1.7258e-09	NA		Inherit from biNOG: Pentatricopeptide repeat domain 2	SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR199440|c0_g2_i1	255	738.86	-3.5075	1.7714e-09	NA		Insulinase (Peptidase family M16)	PFAM (Peptidase_M16, Peptidase_M16_C)	No	FALSE
adult thorax by wing PC1	TR198280|c0_g2_i1	256	15.974	-5.0025	1.8451e-09	neurochondrin		Neurochondrin	PFAM (Neurochondrin)	No	FALSE
adult thorax by wing PC1	TR228615|c6_g2_i2	257	5.4531	-14.262	1.8451e-09	NA		NA	SMART (COIL)		FALSE
adult thorax by wing PC1	TR204797|c1_g3_i1	261	1347.1	-4.1066	1.9044e-09	NA		IG	PFAM (I-set, ig, V-set), SMART (IGc2, IG, COIL, IG_like, TRANS)	No	FALSE
adult thorax by wing PC1	TR201484|c0_g1_i1	262	40.729	-3.1873	1.9118e-09	Unr	UNR	CSP	PFAM (CSD), SMART (CSP, COIL)	No	FALSE
adult thorax by wing PC1	TR198293|c1_g3_i7	263	25.915	-5.7994	1.927e-09	NA		Inherit from biNOG: DNA polymerase type B, organellar and viral	PFAM (DNA_pol_B_2), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR261445|c0_g1_i1	264	65.581	-3.0589	1.9431e-09	NA		Enoyl-CoA hydratase	PFAM (ECH)	No	FALSE
adult thorax by wing PC1	TR287385|c0_g1_i1	266	53.639	-2.3004	2.1023e-09	rpL41	MRPL41	ribosomal protein L41	PFAM (MRP-L27), SMART (SIGNAL)	No	FALSE
adult thorax by wing PC1	TR242973|c0_g1_i1	268	113.51	4.4236	2.4042e-09	TACC	TACC	Transforming acidic coiled-coil-containing protein (TACC)	PFAM (TACC), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR198091|c0_g1_i2	269	81.342	-2.6757	2.6348e-09	NA		Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)	PFAM (Ferrochelatase)	No	FALSE
adult thorax by wing PC1	TR202690|c0_g1_i1	272	54.197	-5.4664	3.4339e-09	NA		MYND finger	PFAM (zf-MYND, SET), SMART (SET, COIL)	No	FALSE
adult thorax by wing PC1	TR263396|c0_g1_i1	275	182.94	-3.3497	3.645e-09	NA		Mpv17 / PMP22 family 	PFAM (Mpv17_PMP22), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR241830|c0_g1_i1	278	29.247	-3.6347	3.8813e-09	nostrin		Variant SH3 domain	PFAM (SH3_1, SH3_2, FCH), SMART (SH3, COIL)	No	FALSE
adult thorax by wing PC1	TR241302|c1_g1_i2	281	688.32	-3.9407	4.3542e-09	NA		NA	SMART (COIL, TRANS)	No	FALSE
adult thorax by wing PC1	TR280758|c3_g1_i1	284	107.36	-3.0622	5.2918e-09	adenosine deaminase	ADAT	adenosine deaminase	PFAM (A_deamin, Aldo_ket_red), SMART (ADEAMc)	No	FALSE
adult thorax by wing PC1	TR153780|c0_g1_i1	285	143.67	-2.0129	5.5129e-09	NA		serine threonine-protein kinase	PFAM (Pkinase, Pkinase_Tyr), SMART (STYKc, COIL, TRANS)	No	FALSE
adult thorax by wing PC1	TR257544|c1_g1_i1	287	86.453	-2.79	5.7045e-09	rpL46	MRPL46	ribosomal protein, L46	PFAM (MRP-L46, NUDIX), SMART (SIGNAL)	No	FALSE
adult thorax by wing PC1	TR265764|c1_g1_i1	288	244.7	-3.9022	5.8541e-09	rpL9		ribosomal protein L9	PFAM (Ribosomal_L9_N), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR207575|c0_g1_i1	289	784.69	3.8252	5.96e-09	NA		Carb_anhydrase	PFAM (Carb_anhydrase), SMART (Carb_anhydrase, SIGNAL, TRANS)	No	FALSE
adult thorax by wing PC1	TR223417|c0_g1_i1	290	95.001	-5.003	6.3503e-09	NA	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6	PFAM (zf-CHCC), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR237964|c0_g1_i1	292	83.704	-2.7012	6.8342e-09	rpL38		ribosomal protein, L38	PFAM (PBP), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR231641|c0_g1_i1	294	2.0858	-15.562	7.2744e-09	NA		ec 2.4.1.17	PFAM (UDPGT, Glyco_tran_28_C), SMART (TRANS, SIGNAL)	No	FALSE
adult thorax by wing PC1	TR257235|c0_g4_i1	296	23.022	-4.2948	7.4883e-09	vein		NA	PFAM (I-set, ig), SMART (SIGNAL, COIL, IGc2)	No	FALSE
adult thorax by wing PC1	TR65545|c0_g1_i1	298	32.291	-3.523	7.5842e-09	NA		Alcohol dehydrogenase GroES-like domain	PFAM (ADH_N, ADH_zinc_N), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR254978|c0_g1_i1	299	97.008	-4.4065	7.704e-09	Zasp66	ZASP66	ZM	PFAM (PDZ), SMART (PDZ, ZM, COIL)	No	FALSE
adult thorax by wing PC1	TR207313|c0_g1_i1	300	39.728	3.7677	7.7442e-09	pericentrin		Inherit from biNOG: Pericentrin	PFAM (PACT_coil_coil, 7tm_6), SMART (COIL, TRANS)	No	FALSE
adult thorax by wing PC1	TR249506|c0_g2_i1	301	45.896	-3.4555	7.7442e-09	rpL28	MRPL28	ribosomal protein, L28		No	FALSE
adult thorax by wing PC1	TR204497|c5_g1_i2	303	92.273	-7.626	8.0666e-09	paramyosin	PRM	Paramyosin	PFAM (Myosin_tail_1), SMART (COIL)		FALSE
adult thorax by wing PC1	TR94483|c0_g1_i1	304	59.05	-2.181	8.3905e-09	NA		Iron-sulphur cluster biosynthesis	PFAM (Fe-S_biosyn)	No	FALSE
adult thorax by wing PC1	TR232873|c0_g1_i1	306	55.462	-3.7375	9.8056e-09	NA		FAST kinase-like protein, subdomain 1	PFAM (FAST_1, FAST_2, RAP), SMART (RAP)	No	FALSE
adult thorax by wing PC1	TR236763|c193_g1_i1	307	1594.4	-3.1798	1.0515e-08	ND2					FALSE
adult thorax by wing PC1	TR250146|c2_g1_i3	311	23.427	-3.6911	1.2323e-08	NA	CRYZ	Alcohol dehydrogenase GroES-like domain	PFAM (ADH_N, ADH_zinc_N)	No	FALSE
adult thorax by wing PC1	TR233142|c1_g1_i2	312	78.111	-3.232	1.2678e-08	NA		NA		No	FALSE
adult thorax by wing PC1	TR242505|c0_g1_i1	313	67.636	-2.9293	1.4553e-08	NA		FH	PFAM (Fork_head), SMART (FH, COIL)	No	FALSE
adult thorax by wing PC1	TR256435|c0_g1_i2	314	140.98	-2.4289	1.4879e-08	NA	MAF-S	bZIP Maf transcription factor	PFAM (bZIP_Maf), SMART (BRLZ, COIL)	No	FALSE
adult thorax by wing PC1	TR241613|c5_g2_i2	315	140.36	-2.7615	1.6645e-08	NA		Mediator of RNA polymerase II transcription subunit	PFAM (Med12-LCEWAV, Med12), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR173211|c0_g1_i1	317	54.252	-4.1967	1.6996e-08	NA		Glutaredoxin	PFAM (Glutaredoxin)	No	FALSE
adult thorax by wing PC1	TR268059|c0_g1_i4	318	166.44	-5.2273	1.7331e-08	NA		FAR-17a/AIG1-like protein	PFAM (Far-17a_AIG1), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR205307|c2_g1_i1	320	69.02	-2.8511	1.8114e-08	NA	SUG	Nucleoside H+ symporter	PFAM (MFS_1, Nuc_H_symport, LacY_symp), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR274062|c0_g1_i5	322	236.21	-2.2313	1.8314e-08	NA		Inherit from biNOG: NUAK family SNF1-like kinase	PFAM (Pkinase_Tyr, Kdo, Pkinase), SMART (S_TKc, COIL)	No	FALSE
adult thorax by wing PC1	TR272691|c0_g1_i1	323	118.24	-2.7748	1.8983e-08	NA		Cardiolipin synthase	PFAM (CDP-OH_P_transf), SMART (TRANS, COIL)	No	FALSE
adult thorax by wing PC1	TR272195|c0_g1_i1	325	204.19	-3.0158	2.007e-08	NA		ubiquitin carboxyl-terminal hydrolase	PFAM (UCH, p450), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR235627|c0_g1_i1	326	15.745	-4.2534	2.0807e-08	myosin	MYO22	MYSc	PFAM (IQ, MyTH4, FERM_M, Myosin_head, RA), SMART (IQ, B41, MYSc, COIL, RA)	No	FALSE
adult thorax by wing PC1	TR212225|c2_g3_i1	328	17.902	-8.3161	2.25e-08	NA		Inherit from biNOG: inturned planar cell polarity effector homolog (Drosophila)	PFAM (PDZ), SMART (PDZ, COIL)	No	FALSE
adult thorax by wing PC1	TR204429|c1_g1_i4	330	83.755	4.0852	2.5564e-08	E3-Ub ligase		e3 ubiquitin-protein ligase	PFAM (HECT, WW, C2), SMART (WW, HECTc, COIL, C2)	No	FALSE
adult thorax by wing PC1	TR235652|c2_g1_i2	332	126.75	-2.6783	2.6514e-08	Pym	WIBG	Regulator of the exon junction complex (EJC), a multiprotein complex that associates immediately upstream of the exon-exon junction on mRNAs and serves as a positional landmarks for the intron exon structure of genes and directs post- transcriptional processes in the cytoplasm such as mRNA export, nonsense-mediated mRNA decay (NMD) or translation	PFAM (Mago-bind), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR228532|c0_g1_i1	333	33.97	-3.8541	2.8663e-08	NA		CD36 family	PFAM (CD36), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR283145|c0_g1_i1	335	53.001	-2.2277	2.9809e-08	NA		60Kd inner membrane protein	PFAM (60KD_IMP), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR274070|c1_g2_i1	336	4.8898	-8.022	3.0675e-08	neurochondrin		Neurochondrin	PFAM (Neurochondrin)	No	FALSE
adult thorax by wing PC1	TR273316|c0_g1_i1	337	69.02	-4.0061	3.1434e-08	NA		protein kinase c	PFAM (C1_1, Pkinase, Pkinase_Tyr, Pkinase_C, HR1, C2), SMART (C1, S_TKc, S_TK_X, Hr1, C2, COIL, STYKc)	No	FALSE
adult thorax by wing PC1	TR241436|c0_g1_i1	339	603.29	-1.6607	3.4726e-08	NA		Interferon-related protein conserved region	PFAM (IFRD, IFRD_C), SMART (COIL, SIGNAL)	No	FALSE
adult thorax by wing PC1	TR247974|c0_g1_i1	340	41.864	-3.7428	3.4733e-08	NA		Uncharacterised protein family (UPF0240)	PFAM (UPF0240), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR205549|c1_g3_i3	341	142.06	-2.9534	3.6708e-08	mle	MLE	Double-stranded RNA binding motif	PFAM (dsrm, Helicase_C, DEAD, HA2, DUF1605), SMART (DSRM, DEXDc, HELICc, HA2, COIL, TRANS)	No	FALSE
adult thorax by wing PC1	TR245259|c15_g9_i1	342	55.025	-5.7741	3.7554e-08	NA		PTPc_DSPc	PFAM (DSPc, Y_phosphatase), SMART (PTPc_DSPc, COIL)	No	FALSE
adult thorax by wing PC1	TR208843|c0_g1_i6	343	41.293	-4.2846	3.9387e-08	NA		BTB And C-terminal Kelch	PFAM (BACK, BTB, PHR), SMART (BTB, BACK)	No	FALSE
adult thorax by wing PC1	TR199289|c0_g1_i1	344	80.831	-1.9912	4.1301e-08	Surfeit1	SURF1	surfeit locus protein	PFAM (SURF1, LSM), SMART (TRANS, Sm)	No	FALSE
adult thorax by wing PC1	TR80270|c1_g1_i2	345	613.37	-2.2657	4.2972e-08	porin	PORIN	voltage-dependent anion-selective	PFAM (Porin_3)	No	FALSE
adult thorax by wing PC1	TR262528|c22_g1_i1	347	11365	-3.6651	4.6073e-08	NA		NADH-Ubiquinone/plastoquinone (complex I), various chains	PFAM (Oxidored_q1, NADH5_C, Oxidored_q1_N), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR262269|c0_g1_i2	350	99.848	1.6538	5.0881e-08	NA		LETM1-like protein	PFAM (LETM1), SMART (COIL, TRANS, EFh)	No	FALSE
adult thorax by wing PC1	TR227627|c1_g1_i1	353	58.031	-2.2183	5.3747e-08	Mcm7	MCM7	DNA replication licensing factor	PFAM (MCM, AAA_5, Mg_chelatase), SMART (MCM, AAA)	No	FALSE
adult thorax by wing PC1	TR73070|c0_g1_i1	354	33.044	-3.1462	5.3843e-08	NA		Alcohol dehydrogenase GroES-like domain	PFAM (ADH_N, ADH_zinc_N, Epimerase, ELFV_dehydrog), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR246977|c1_g1_i1	355	243.43	-2.2292	5.4583e-08	NA		Protein of unknown function (DUF1075)	PFAM (DUF1075), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR260867|c0_g1_i1	356	27.045	-3.7526	5.5597e-08	NA		Endonuclease G	PFAM (Endonuclease_NS), SMART (NUC, Endonuclease_NS, SIGNAL)	No	FALSE
adult thorax by wing PC1	TR224530|c0_g1_i4	360	19.381	-4.7129	5.922e-08	GPRNNB1	GPRNNB1	LRR_TYP	PFAM (LRR_1), SMART (LRR, LRR_TYP, SIGNAL, LRRCT, TRANS)	No	FALSE
adult thorax by wing PC1	TR248700|c1_g1_i3	362	238.71	-2.1043	6.6754e-08	NA		Pyruvate dehydrogenase	PFAM (Transket_pyr, Transketolase_C), SMART (Transket_pyr)	No	FALSE
adult thorax by wing PC1	TR251040|c0_g1_i2	364	149.13	-2.1329	6.7314e-08	NA		Haemolysin-III related	PFAM (HlyIII), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR285517|c0_g1_i1	365	50.463	-3.3308	6.8478e-08	NA		Sorting and assembly machinery	PFAM (Bac_surface_Ag), SMART (SIGNAL)	No	FALSE
adult thorax by wing PC1	TR82425|c0_g1_i1	366	18.502	-3.4691	7.2704e-08	PebIII	PEBIII	protein serine threonine kinase	PFAM (OS-D), SMART (SIGNAL)	No	FALSE
adult thorax by wing PC1	TR280469|c1_g1_i2	367	18.8	-4.0091	7.6237e-08	Polr2D		RNA polymerase Rpb4	PFAM (RNA_pol_Rpb4), SMART (RPOL4c)	No	FALSE
adult thorax by wing PC1	TR242051|c0_g1_i2	368	70.847	-2.4746	7.6605e-08	NA		Myosin-binding striated muscle assembly central	PFAM (UNC45-central, TPR_1, TPR_2), SMART (TPR, ARM, TRANS, COIL)	No	FALSE
adult thorax by wing PC1	TR202038|c6_g3_i1	373	93.486	-1.9231	9.312e-08	NA		Removes the N-terminal methionine from nascent proteins (By similarity)	PFAM (Peptidase_M24, zf-MYND)	No	FALSE
adult thorax by wing PC1	TR261741|c0_g1_i3	375	458.66	-2.7607	9.5746e-08	NA	AMPH	BAR	PFAM (BAR, SH3_1, SH3_2), SMART (COIL, SH3, BAR)	No	FALSE
adult thorax by wing PC1	TR220112|c1_g1_i4	376	10.691	-3.6036	9.6686e-08	Cdk5		CDK5 regulatory subunit-associated protein	PFAM (UPF0004, Radical_SAM, TRAM), SMART (Elp3)	No	FALSE
adult thorax by wing PC1	TR211418|c3_g1_i2	377	178.99	-1.2828	9.9519e-08	rpS22	MRPS22	ribosomal protein S22	PFAM (MRP-S22), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR240709|c2_g1_i1	378	48.66	-1.6385	1.0151e-07	NA		RING	PFAM (WD40, zf-C3HC4), SMART (WD40, RING, COIL)	No	FALSE
adult thorax by wing PC1	TR220220|c2_g2_i3	380	167.36	-2.0856	1.121e-07	NA		Mediator of RNA polymerase II transcription subunit	PFAM (Med13_C, Med13_N), SMART (COIL, SIGNAL)	No	FALSE
adult thorax by wing PC1	TR264553|c1_g9_i2	381	55.944	-4.164	1.1225e-07	NA		Rubisco LSMT substrate-binding	PFAM (Rubis-subs-bind, SET), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR237588|c1_g3_i1	382	56.468	-3.3684	1.1967e-07	NA		Domain of unknown function (DUF1731)	PFAM (DUF1731, Epimerase)	No	FALSE
adult thorax by wing PC1	TR236411|c4_g1_i1	386	9.6944	-7.2868	1.3627e-07	NA		BR serine threonine-protein kinase	PFAM (Pkinase, Pkinase_Tyr), SMART (S_TKc, STYKc)	No	FALSE
adult thorax by wing PC1	TR242675|c0_g2_i9	388	199.44	-3.1826	1.4107e-07	NA		Inherit from biNOG: ankyrin 3, node of Ranvier (ankyrin G)	PFAM (Ank, ZU5, Death), SMART (ANK, COIL, ZU5, DEATH, SIGNAL)	No	FALSE
adult thorax by wing PC1	TR217119|c0_g1_i1	389	114.94	-3.2209	1.7025e-07	NA		succinyltransferase component of 2-oxoglutarate dehydrogenase	PFAM (2-oxoacid_dh, Biotin_lipoyl), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR231479|c0_g1_i1	391	120.76	-1.7645	1.7199e-07	NA		IBN_N	PFAM (HEAT, IBN_N, Dopey_N), SMART (IBN_N)	No	FALSE
adult thorax by wing PC1	TR250714|c10_g4_i1	392	22.451	-6.3498	1.7289e-07	NA		SET domain	PFAM (SET), SMART (SET)	No	FALSE
adult thorax by wing PC1	TR241583|c2_g2_i3	394	92.356	-2.0847	1.7417e-07	NA		HAT	PFAM (Suf), SMART (HAT, COIL, TPR)	No	FALSE
adult thorax by wing PC1	TR241150|c0_g1_i1	395	84.35	-2.6005	1.8001e-07	intersectin	DAP160	EH	PFAM (SH3_2, SH3_1), SMART (SH3, EFh, EH, COIL)	No	FALSE
adult thorax by wing PC1	TR209940|c0_g1_i1	397	17.472	-4.2019	1.8358e-07	FGF		Fibroblast growth factor	PFAM (FGF), SMART (FGF, TRANS, SIGNAL, COIL)		FALSE
adult thorax by wing PC1	TR283273|c0_g1_i3	400	191.87	-3.3742	1.8799e-07	b-tubulin	TUBB6	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	PFAM (Tubulin, Tubulin_C, Misat_Myo_SegII), SMART (Tubulin_C, Tubulin, COIL, TRANS)	No	FALSE
adult thorax by wing PC1	TR239675|c0_g2_i1	402	309	-2.6021	2.3041e-07	NA		cytochrome	PFAM (Cyto_heme_lyase)	No	FALSE
adult thorax by wing PC1	TR219115|c0_g1_i1	403	56.816	-3.2948	2.4191e-07	NA	UBAP2L	ubiquitin associated protein	PFAM (DUF3697, UBA), SMART (UBA)	No	FALSE
adult thorax by wing PC1	TR233901|c0_g1_i1	404	682.03	-2.1187	2.4191e-07	NA		CDGSH iron-sulfur domain-containing protein 2 homolog	PFAM (zf-CDGSH, MitoNEET_N), SMART (ZnF_CDGSH, TRANS)	No	FALSE
adult thorax by wing PC1	TR222041|c4_g1_i1	405	28.66	-2.5968	2.4424e-07	XRCC6	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6	PFAM (Ku, Ku_N, Ku_C, SAP), SMART (Ku78, SAP, VWA, COIL)	No	FALSE
adult thorax by wing PC1	TR201779|c0_g1_i1	406	77.653	-2.6152	2.5126e-07	NA		complex I intermediate-associated protein	PFAM (CIA30), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR198043|c1_g1_i1	407	63.978	-3.7691	2.5133e-07	rpL35		ribosomal protein L35	PFAM (Ribosomal_L35p)	No	FALSE
adult thorax by wing PC1	TR200379|c2_g1_i3	408	261.79	-2.9803	2.5237e-07	NA		Pfam:efhand	PFAM (efhand), SMART (EFh)	No	FALSE
adult thorax by wing PC1	TR246593|c0_g3_i1	409	38.566	-2.3355	2.5374e-07	NA		Inherit from biNOG: bromo adjacent homology domain containing 1	PFAM (BAH), SMART (COIL, BAH, TRANS)	No	FALSE
adult thorax by wing PC1	TR280707|c5_g1_i1	411	35.811	-3.4336	2.6328e-07	NA		AFG1-like ATPase	PFAM (AFG1_ATPase)	No	FALSE
adult thorax by wing PC1	TR278987|c0_g1_i1	412	29.971	-3.1963	2.6613e-07	NA		ParA/MinD ATPase like	PFAM (ParA, CbiA, MipZ, ArsA_ATPase, Fer4_NifH)	No	FALSE
adult thorax by wing PC1	TR273333|c1_g1_i1	413	38.944	-2.5424	2.7553e-07	NA		Uncharacterized conserved protein (DUF2048)	PFAM (DUF2048), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR219089|c9_g10_i2	418	108.18	-2.99	3.0277e-07	RRF		Ribosome recycling factor	PFAM (RRF), SMART (COIL)		FALSE
adult thorax by wing PC1	TR285777|c1_g1_i8	419	13.802	-4.4656	3.0482e-07	NA		Holliday junction DNA helicase ruvB N-terminus	PFAM (AAA, RuvB_N, Zeta_toxin, AAA_2, AAA_5), SMART (AAA, TRANS, COIL)	No	FALSE
adult thorax by wing PC1	TR201484|c1_g1_i1	421	350.17	-1.454	3.0848e-07	NA	UNR	CSP	PFAM (CSD), SMART (CSP, COIL)	No	FALSE
adult thorax by wing PC1	TR201750|c9_g4_i1	422	10.557	-3.2298	3.0957e-07	NA		mitochondrial chaperone	PFAM (BCS1_N, AAA, RNA_helicase, DUF815), SMART (AAA, BCS1_N, TRANS)	No	FALSE
adult thorax by wing PC1	TR243534|c1_g1_i1	423	19.151	-3.3864	3.0957e-07	NA		Leucyl-tRNA synthetase	PFAM (tRNA-synt_1, tRNA-synt_1g, Anticodon_1, PK, tRNA-synt_1d), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR221567|c1_g1_i1	424	28.774	-12.141	3.2088e-07	NA		glycoside hydrolases	PFAM (Glyco_hydro_1), SMART (SIGNAL, TRANS)	No	FALSE
adult thorax by wing PC1	TR246167|c0_g5_i1	426	878.27	-1.4797	3.2107e-07	NA		Mitochondrial carrier protein	PFAM (Mito_carr, zf-BED), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR180654|c0_g1_i1	428	50.93	-1.8501	3.2471e-07	NA		ATP-dependent Clp protease, proteolytic subunit	PFAM (CLP_protease), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR254128|c0_g1_i1	430	53.848	-2.126	3.5318e-07	NA		N6-adenosine-methyltransferase	PFAM (MT-A70), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR264193|c0_g2_i1	433	144.14	-3.6537	3.7451e-07	myosin HC					FALSE
adult thorax by wing PC1	TR238424|c0_g1_i1	435	23.581	-2.6421	3.7915e-07	NA		DNA-directed RNA polymerase III	PFAM (RNA_pol_Rpc34)	No	FALSE
adult thorax by wing PC1	TR200706|c0_g1_i1	436	370.19	-1.9138	3.9154e-07	P58IPK	P58IPK	DnaJ domain	PFAM (TPR_1, DnaJ, TPR_2), SMART (TPR, DnaJ, SIGNAL, COIL)	No	FALSE
adult thorax by wing PC1	TR264583|c6_g1_i3	440	109.76	-2.4882	4.2819e-07	NA		ankyrin repeat and zinc finger domain-containing protein 1-like	PFAM (Ank), SMART (COIL, ANK, TRANS)	No	FALSE
adult thorax by wing PC1	TR200597|c0_g1_i1	441	35.638	-3.1612	4.2921e-07	NA		Inherit from biNOG: Pentatricopeptide repeat domain 3	PFAM (PPR), SMART (COIL, TRANS)	No	FALSE
adult thorax by wing PC1	TR204497|c5_g1_i1	444	3002.2	-2.9354	4.6105e-07	paramyosin	PRM	Paramyosin	PFAM (Myosin_tail_1), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR201010|c0_g1_i2	446	110.82	-1.7981	4.6606e-07	NA		Mitochondrial import inner membrane translocase subunit	PFAM (Pam16), SMART (COIL)	No	FALSE
adult thorax by wing PC1	TR239032|c0_g1_i1	447	41.284	-2.1524	4.6721e-07	NA		NA	SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR201065|c0_g1_i1	449	7.8722	-5.1632	5.7066e-07	pyruvate dehydrogenase		Pyruvate dehydrogenase	PFAM (E1_dh)	No	FALSE
adult thorax by wing PC1	TR250756|c4_g1_i1	450	143.29	-4.2773	5.7416e-07	NA		small_GTPase	PFAM (Miro, Ras), SMART (small_GTPase)	No	FALSE
adult thorax by wing PC1	TR219118|c0_g1_i1	451	24.608	-3.761	5.7476e-07	NA		protoheme ix	PFAM (UbiA), SMART (TRANS)	No	FALSE
adult thorax by wing PC1	TR221834|c1_g1_i1	456	173.25	-1.8797	6.4056e-07	NA		Inositol-pentakisphosphate 2-kinase	PFAM (Ins_P5_2-kin), SMART (COIL)	No	FALSE
